clir_name,admin_link,website_url,artwork_count,has_bio_on_website,bio_in_database,bio_length,match_type
"","","https://www.creativegrowth.org/artist/avery-babon",0,true,false,290,"no_match"
"Lena Salk","https://sj-atlas-d1y8.vercel.app/admin/artists/d053cd97-fe52-427d-893b-318dd7c2978b","https://www.creativegrowth.org/artist/lena-salk",0,false,false,0,"exact_slug"
"","","https://www.creativegrowth.org/artist/ana-alegre",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/amid-ehsani",0,true,false,260,"no_match"
"","","https://www.creativegrowth.org/artist/robbie-erion",0,true,false,1052,"no_match"
"","","https://www.creativegrowth.org/artist/walter-baldwin",0,true,false,292,"no_match"
"","","https://www.creativegrowth.org/artist/shui-wah-poon",0,true,false,59,"no_match"
"","","https://www.creativegrowth.org/artist/nathaniel-jackson",0,true,false,416,"no_match"
"","","https://www.creativegrowth.org/artist/lisa-craib",0,true,false,339,"no_match"
"","","https://www.creativegrowth.org/artist/james-freid",0,true,false,2977,"no_match"
"","","https://www.creativegrowth.org/artist/henry-trockle",0,true,false,523,"no_match"
"","","https://www.creativegrowth.org/artist/janis-danker",0,true,false,48,"no_match"
"","","https://www.creativegrowth.org/artist/eli-cooper",0,true,false,622,"no_match"
"","","https://www.creativegrowth.org/artist/elizabeth-rangel",0,true,false,523,"no_match"
"","","https://www.creativegrowth.org/artist/carol-fullen",0,true,false,157,"no_match"
"","","https://www.creativegrowth.org/artist/donna-kurtz",0,true,false,229,"no_match"
"","","https://www.creativegrowth.org/artist/ryan-williams",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/carmen-quinones",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/lisa-lipton",0,true,false,139,"no_match"
"","","https://www.creativegrowth.org/artist/jack-starbuck",0,true,false,561,"no_match"
"","","https://www.creativegrowth.org/artist/aj-herzfeld",0,true,false,444,"no_match"
"","","https://www.creativegrowth.org/artist/jade-saren",0,true,false,1366,"no_match"
"","","https://www.creativegrowth.org/artist/julian-ou",0,true,false,863,"no_match"
"","","https://www.creativegrowth.org/artist/reginald-burton",0,true,false,397,"no_match"
"","","https://www.creativegrowth.org/artist/trinity-joseph",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/karen-ridge",0,true,false,484,"no_match"
"","","https://www.creativegrowth.org/artist/emily-witkin",0,true,false,476,"no_match"
"","","https://www.creativegrowth.org/artist/emmanuel-gonzalez",0,true,false,444,"no_match"
"","","https://www.creativegrowth.org/artist/kathleen-miller",0,true,false,469,"no_match"
"","","https://www.creativegrowth.org/artist/jordan-evans",0,true,false,688,"no_match"
"","","https://www.creativegrowth.org/artist/melissa-poe",0,true,false,598,"no_match"
"","","https://www.creativegrowth.org/artist/gregg-nakanishi",0,true,false,539,"no_match"
"","","https://www.creativegrowth.org/artist/tristram-day-schott",0,true,false,374,"no_match"
"","","https://www.creativegrowth.org/artist/joe-spears-iii",0,true,false,371,"no_match"
"","","https://www.creativegrowth.org/artist/akasha-cananizado",0,true,false,937,"no_match"
"","","https://www.creativegrowth.org/artist/emma-holbrook",0,true,false,538,"no_match"
"","","https://www.creativegrowth.org/artist/malia-ramsey",0,true,false,928,"no_match"
"","","https://www.creativegrowth.org/artist/steven-pho",0,true,false,337,"no_match"
"","","https://www.creativegrowth.org/artist/hyo-ju-mims",0,true,false,568,"no_match"
"","","https://www.creativegrowth.org/artist/adumasa-ayinde",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/isaac-bar-zeev",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/brenda-estrada",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/oliver-santana",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/isabel-gallegos",0,true,false,61,"no_match"
"","","https://www.creativegrowth.org/artist/oscar-bomse",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/erik-kodono",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/peter-ahn",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/zachary-barber",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/maya-rogers",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/alex-schaffer",0,true,false,446,"no_match"
"","","https://www.creativegrowth.org/artist/angel-love",0,true,false,352,"no_match"
"","","https://www.creativegrowth.org/artist/ernest-spears",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/eva-garrett",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/cathy-sampson",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/anthony-baio",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/james-ferrell",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/maria-lopez",0,false,false,0,"no_match"
"Paul Gee","https://sj-atlas-d1y8.vercel.app/admin/artists/d427b23a-4576-48cd-8d68-b4e3a85de88e","https://www.creativegrowth.org/artist/paul-gee",0,false,false,0,"exact_slug"
"","","https://www.creativegrowth.org/artist/pharroh-mosely-katakanga",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/victoria-sisneros",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/zar-shepard",0,true,false,822,"no_match"
"","","https://www.creativegrowth.org/artist/peter-landau",0,true,false,162,"no_match"
"","","https://www.creativegrowth.org/artist/jean-paul-vallence",0,true,false,182,"no_match"
"Robert Lauricella","https://sj-atlas-d1y8.vercel.app/admin/artists/c2462d46-16a3-4fef-afb9-89464f8c92e3","https://www.creativegrowth.org/artist/robert-lauricella",0,false,false,0,"exact_slug"
"","","https://www.creativegrowth.org/artist/andre-keenan",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/jarren-samuel",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/pharroh-mosley-katakanga",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/charles-brown",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/yolanda-vallance",0,true,false,239,"no_match"
"","","https://www.creativegrowth.org/artist/benjamin-lew",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/calista-novenario",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/daniel-vallance",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/katherine-miller",0,true,false,147,"no_match"
"","","https://www.creativegrowth.org/artist/elizabeth-rangel-i",0,true,false,153,"no_match"
"","","https://www.creativegrowth.org/artist/darrel-davis",0,true,false,420,"no_match"
"","","https://www.creativegrowth.org/artist/emily-hessenauer",0,true,false,352,"no_match"
"Kerry Damianakes","https://sj-atlas-d1y8.vercel.app/admin/artists/b937cc55-44b7-4d99-ac77-57ce14b31d65","https://www.creativegrowth.org/artist/kerry-damianakes",0,true,true,717,"exact_slug"
"","","https://www.creativegrowth.org/artist/moises-martinez",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/jorge-vargas",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/amaya-lee",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/hope-hendricks",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/dania-leyva",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/jorge-rodriguez-vargas",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/rey-rivero",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/camille-mcfarlane",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/comic-woodall",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/ben-lieberman-i",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/jason-monzon",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/jose-pena-i",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/andy-banchero",0,false,false,0,"no_match"
"","","https://www.creativegrowth.org/artist/jerren-rylee-samuel",0,false,false,0,"no_match"
"Ana Vasquez","https://sj-atlas-d1y8.vercel.app/admin/artists/b9b2ae59-1884-49d2-8acb-8f97ecdf174e","",0,false,false,0,"clir_only"
"Co-Op","https://sj-atlas-d1y8.vercel.app/admin/artists/d4cc892f-2246-4767-b76a-6093839e5f10","",0,false,false,0,"clir_only"
"Darlene","https://sj-atlas-d1y8.vercel.app/admin/artists/dd1af4ee-42d3-4654-bbcc-80ba917531ca","",0,false,false,0,"clir_only"
"Darlene Jafoya","https://sj-atlas-d1y8.vercel.app/admin/artists/e16d120c-8444-4d56-9091-6d823d0cb26d","",0,false,false,0,"clir_only"
"Donald Paterson","https://sj-atlas-d1y8.vercel.app/admin/artists/e3c77e80-399a-42ab-813b-d5c47a87c01a","",0,false,false,0,"clir_only"
"Eddie Lais","https://sj-atlas-d1y8.vercel.app/admin/artists/c20244ba-7550-48ba-a597-ed947e340224","",0,false,false,0,"clir_only"
"Eleanor Chackee","https://sj-atlas-d1y8.vercel.app/admin/artists/f0ed03a6-881e-4cf9-a174-1200d55eb811","",0,false,false,0,"clir_only"
"Eleanor Hackett","https://sj-atlas-d1y8.vercel.app/admin/artists/d3d0ae91-d0eb-4d0d-9fe9-d0de6ec4bae7","",0,false,false,0,"clir_only"
"Feraidoon Nalan","https://sj-atlas-d1y8.vercel.app/admin/artists/8a786ee8-7aac-4e2e-9f88-955017e5af9d","",0,false,false,0,"clir_only"
"George Kellogg","https://sj-atlas-d1y8.vercel.app/admin/artists/ad747dbf-f1a7-439a-ab0f-93b928167bac","",0,false,false,0,"clir_only"
